Disease,Symptoms,Treatment
Treatments For Brown-Sequard Syndrome,Generally treatment for individuals with BSS focuses on the underlying cause of the disorder. Other treatment is symptomatic and supportive.,Early treatment with high-dose steroids may be beneficial in many cases.
Outlook For Brown-Sequard Syndrome,The prognosis for individuals with BSS varies depending on the cause of the disorder.,Clinical management depends on specific patient presentation and physician evaluation.
(Are) Neurological Sequelae Of Lupus,"The signs and symptoms of lupus differ from person to person; the disease can range from mild to life threatening. Initial symptoms of lupus may begin with a fever, vascular headaches, epilepsy, or psychoses. In addition to headache, lupus can cause other neurological disorders, such as mild cognitive dysfunction, organic brain syndrome, peripheral neuropathies, sensory neuropathy, psychological problems (including personality changes, paranoia, mania, and schizophrenia), seizures, transverse myelitis, and paralysis and stroke.","Normally, the immune system protects the body against invading infections and cancers."
Treatments For Neurological Sequelae Of Lupus,"Treatment is symptomatic. With a combination of medication, rest, exercise, proper nutrition, and stress management, most individuals with lupus can often achieve remission or reduce their symptom levels.","There is no cure for lupus. Medications used in the treatment of lupus may include aspirin and other nonsteroidal anti-inflammatory medications, antimalarials, corticosteroids, and immunosuppressive drugs."
Outlook For Neurological Sequelae Of Lupus,The prognosis for lupus varies widely depending on the organs involved and the intensity of the inflammatory reaction.,Most individuals with lupus do not develop serious health problems and have a normal lifespan with periodic doctor visits and treatments with various drugs.
(Are) Generalized Gangliosidoses,"The gangliosidoses are a group of inherited metabolic diseases caused by a deficiency of the different proteins needed to break down fatty substances called lipids. Excess buildup of these fatty materials (oils, waxes, steroids, and other compounds) can cause permanent damage in the cells and tissues in the brain and nervous systems, particularly in nerve cells.","Excess buildup of these fatty materials (oils, waxes, steroids, and other compounds) can cause permanent damage in the cells and tissues in the brain and nervous systems, particularly in nerve cells."
Treatments For Generalized Gangliosidoses,No specific treatment exists for the gangliosidoses.,No specific treatment exists for the gangliosidoses. Other supportive treatment includes proper nutrition and hydration and keeping the airway open.
Outlook For Generalized Gangliosidoses,Children with early infantile GM1 often die by age 3 from cardiac complications or pneumonia.,Children with the early-onset form of Tay-Sachs disease may eventually need a feeding tube and often die by age 4 from recurring infection.
(Are) Paroxysmal Hemicrania,"Patients experience severe throbbing, claw-like, or boring pain usually on one side of the face; in, around, or behind the eye; and occasionally reaching to the back of the neck. This pain may be accompanied by red and tearing eyes, a drooping or swollen eyelid on the affected side of the face, and nasal congestion.","Patients experience severe throbbing, claw-like, or boring pain usually on one side of the face; in, around, or behind the eye; and occasionally reaching to the back of the neck."
Treatments For Paroxysmal Hemicrania,"The nonsteroidal anti-inflammatory drug (NSAID) indomethacin often provides complete relief from symptoms. Patients with both paroxysmal hemicrania and trigeminal neuralgia (a condition of the 5th cranial nerve that causes sudden, severe pain typically felt on one side of the jaw or cheek) should receive treatment for each disorder.","Other less effective NSAIDs, calcium-channel blocking drugs (such as verapamil), and corticosteroids may be used to treat the disorder."
Outlook For Paroxysmal Hemicrania,Many patients experience complete to near-complete relief of symptoms following physician-supervised medical treatment.,Paroxysmal hemicrania may last indefinitely but has been known to go into remission or stop spontaneously.
(Are) Myopathy,"The myopathies are neuromuscular disorders in which the primary symptom is muscle weakness due to dysfunction of muscle fiber. Other symptoms of myopathy can include include muscle cramps, stiffness, and spasm.","Other symptoms of myopathy can include include muscle cramps, stiffness, and spasm."
Treatments For Myopathy,Treatments for the myopathies depend on the disease or condition and specific causes. Supportive and symptomatic treatment may be the only treatment available or necessary for some disorders.,"Treatment for other disorders may include drug therapy, such as immunosuppressives, physical therapy, bracing to support weakened muscles, and surgery."
Outlook For Myopathy,The prognosis for individuals with a myopathy varies.,Some individuals have a normal life span and little or no disability.
(Are) Troyer Syndrome,"Additional symptoms of Troyer syndrome (also called SPG20) include leg contractures, difficulty walking, speech disorders, drooling, atrophy of the hand muscles, developmental delays, fluctuating emotions, and short stature. Onset is typically in early childhood, and symptoms gradually worsen over time.",These disorders are characterized by their paramount feature of progressive muscle weakness and spasticity in the legs.
Treatments For Troyer Syndrome,Symptomatic therapy includes antispasmodic drugs and physical therapy to improve muscle strength and maintain range of motion in the legs.,There are no specific treatments to prevent or slow the progressive degeneration seen in Troyer syndrome.
Outlook For Troyer Syndrome,"Prognosis varies, although the disease is progressive.",Some patients may have a mild form of the disease while others eventually lose the ability to walk normally.
(Are) Stroke,"A stroke occurs when the blood supply to part of the brain is suddenly interrupted or when a blood vessel in the brain bursts, spilling blood into the spaces surrounding brain cells. The symptoms of a stroke include sudden numbness or weakness, especially on one side of the body; sudden confusion or trouble speaking or understanding speech; sudden trouble seeing in one or both eyes; sudden trouble with walking, dizziness, or loss of balance or coordination; or sudden severe headache with no known cause.",Brain cells die when they no longer receive oxygen and nutrients from the blood or there is sudden bleeding into or around the brain.
Treatments For Stroke,"Generally there are three treatment stages for stroke: prevention, therapy immediately after the stroke, and post-stroke rehabilitation.","Generally there are three treatment stages for stroke: prevention, therapy immediately after the stroke, and post-stroke rehabilitation. Therapies to prevent a first or recurrent stroke are based on treating an individual's underlying risk factors for stroke, such as hypertension, atrial fibrillation, and diabetes."
Outlook For Stroke,"Stroke may cause problems with thinking, awareness, attention, learning, judgment, and memory. The pain is often worse in the hands and feet and is made worse by movement and temperature changes, especially cold temperatures. Recurrent stroke is frequent; about 25 percent of people who recover from their first stroke will have another stroke within 5 years.","A common disability that results from stroke is complete paralysis on one side of the body, called hemiplegia."
(Are) Parkinson'S Disease,"The four primary symptoms of PD are tremor, or trembling in hands, arms, legs, jaw, and face; rigidity, or stiffness of the limbs and trunk; bradykinesia, or slowness of movement; and postural instability, or impaired balance and coordination. As these symptoms become more pronounced, patients may have difficulty walking, talking, or completing other simple tasks.","The four primary symptoms of PD are tremor, or trembling in hands, arms, legs, jaw, and face; rigidity, or stiffness of the limbs and trunk; bradykinesia, or slowness of movement; and postural instability, or impaired balance and coordination."
Treatments For Parkinson'S Disease,"At present, there is no cure for PD, but a variety of medications provide dramatic relief from the symptoms. Although levodopa helps at least three-quarters of parkinsonian cases, not all symptoms respond equally to the drug.","Other drugs, such as bromocriptine, pramipexole, and ropinirole, mimic the role of dopamine in the brain, causing the neurons to react as they would to dopamine. In May 2006, the FDA approved rasagiline to be used along with levodopa for patients with advanced PD or as a single-drug treatment for early PD. In some cases, surgery may be appropriate if the disease doesn't respond to drugs."
Outlook For Parkinson'S Disease,"PD is both chronic, meaning it persists over a long period of time, and progressive, meaning its symptoms grow worse over time. Tremor is the major symptom for some individuals, while for others tremor is only a minor complaint and other symptoms are more troublesome.","Although some people become severely disabled, others experience only minor motor disruptions."
(Are) Melkersson-Rosenthal Syndrome,"The cause of Melkersson-Rosenthal syndrome is unknown, but there may be a genetic predisposition. It can be symptomatic of Crohn's disease or sarcoidosis.",Onset is in childhood or early adolescence.
Treatments For Melkersson-Rosenthal Syndrome,"Treatment is symptomatic and may include medication therapies with nonsteroidal anti-inflammatory drugs (NSAIDs) and corticosteroids to reduce swelling, as well as antibiotics and immunosuppressants.","Surgery may be recommended to relieve pressure on the facial nerves and to reduce swollen tissue, but its effectiveness has not been established."
Outlook For Melkersson-Rosenthal Syndrome,Melkersson-Rosenthal syndrome may recur intermittently after its first appearance.,It can become a chronic disorder.
(Are) Sjgren'S Syndrome,"The hallmark symptoms of the disorder are dry mouth and dry eyes. In addition, Sjogren's syndrome may cause skin, nose, and vaginal dryness, and may affect other organs of the body including the kidneys, blood vessels, lungs, liver, pancreas, and brain.",Sjgren's syndrome is also associated with rheumatic disorders such as rheumatoid arthritis.
Treatments For Sjgren'S Syndrome,Treatment is generally symptomatic and supportive. Moisture replacement therapies may ease the symptoms of dryness.,"There is no known cure for Sjgren's syndrome nor is there a specific treatment to restore gland secretion. For individuals with severe complications, corticosteroids or immunosuppressive drugs may be prescribed."
Outlook For Sjgren'S Syndrome,"Sjgren's syndrome can damage vital organs of the body with symptoms that may remain stable, worsen, or go into remission. Some people may experience only the mild symptoms of dry eyes and mouth, while others go through cycles of good health followed by severe disease.","Some people may experience only the mild symptoms of dry eyes and mouth, while others go through cycles of good health followed by severe disease."
(Are) Hydranencephaly,"Other symptoms may include visual impairment, lack of growth, deafness, blindness, spastic quadriparesis (paralysis), and intellectual deficits. Hydranencephaly is considered to be an extreme form of porencephaly (a rare disorder characterized by a cyst or cavity in the cerebral hemispheres) and may be caused by vascular infections or traumatic disorders after the 12th week of pregnancy.",An infant with hydranencephaly may appear normal at birth.
Treatments For Hydranencephaly,Treatment is symptomatic and supportive.,There is no definitive treatment for hydranencephaly. Hydrocephalus may be treated with a shunt (a surgically implanted tube that diverts fluid from one pathway to another).
Outlook For Hydranencephaly,"The outlook for children with hydranencephaly is generally poor, and many children with this disorder die before age 1.","However, in rare cases, children with hydranencephaly may survive for several years or more."
(Are) Progressive Multifocal Leukoencephalopathy,"Progressive multifocal leukoencephalopathy (PML) is a disease of the white matter of the brain, caused by a virus infection that targets cells that make myelin--the material that insulates nerve cells (neurons). The disease is rare and occurs in patients undergoing chronic corticosteroid or immunosuppressive therapy for organ transplant, or individuals with cancer (such as Hodgkins disease or lymphoma).","Individuals with autoimmune conditions such as multiple sclerosis, rheumatoid arthritis, and systemic lupus erythematosis -- some of whom are treated with biological therapies that allow JC virus reactivation -- are at risk for PML as well. Studies estimate that prior to effective antiretroviral therapy, as many as 5 percent of persons infected with HIV-1 eventually develop PML that is an AIDS-defining illness."
Treatments For Progressive Multifocal Leukoencephalopathy,Hexadecyloxypropyl-Cidofovir (CMX001) is currently being studied as a treatment option for JVC because of its ability to suppress JVC by inhibiting viral DNA replication.,"Currently, the best available therapy is reversal of the immune-deficient state, since there are no effective drugs that block virus infection without toxicity. In the case of HIV-associated PML, immediately beginning anti-retroviral therapy will benefit most individuals."
Outlook For Progressive Multifocal Leukoencephalopathy,"In general, PML has a mortality rate of 30-50 percent in the first few months following diagnosis but depends on the severity of the underlying disease and treatment received.","In general, PML has a mortality rate of 30-50 percent in the first few months following diagnosis but depends on the severity of the underlying disease and treatment received."
(Are) Williams Syndrome,"The most significant medical problem associated with WS is cardiovascular disease caused by narrowed arteries. A random genetic mutation (deletion of a small piece of chromosome 7), rather than inheritance, most often causes the disorder.",The most significant medical problem associated with WS is cardiovascular disease caused by narrowed arteries.
Treatments For Williams Syndrome,"Because WS is an uncommon and complex disorder, multidisciplinary clinics have been established at several centers in the United States . Treatments are based on an individuals particular symptoms.","There is no cure for Williams syndrome, nor is there a standard course of treatment."
Outlook For Williams Syndrome,Early intervention and individualized educational programs designed with the distinct cognitive and personality profiles of WS in mind also help individuals maximize their potential.,Some degree of impaired intellect is found in most people with the disorder.
(Are) Hypotonia,"Normally, even when relaxed, muscles have a very small amount of contraction that gives them a springy feel and provides some resistance to passive movement. Muscle tone is regulated by signals that travel from the brain to the nerves and tell the muscles to contract.","Normally, even when relaxed, muscles have a very small amount of contraction that gives them a springy feel and provides some resistance to passive movement."
Treatments For Hypotonia,"Once a diagnosis has been made, the underlying condition is treated first, followed by symptomatic and supportive therapy for the hypotonia.","Treatment begins with a thorough diagnostic evaluation, usually performed by a neurologist, including an assessment of motor and sensory skills, balance and coordination, mental status, reflexes, and functioning of the nerves. Physical therapy can improve motor control and overall body strength."
Outlook For Hypotonia,Hypotonia can be a life-long condition.,"In some cases, however, muscle tone improves over time."
(Are) Cushing'S Syndrome,"Cushing's syndrome, also called hypercortisolism, is a rare endocrine disorder caused by chronic exposure of the body's tissues to excess levels of cortisol - a hormone naturally produced by the adrenal gland. Exposure to too much cortisol can occur from long-term use of synthetic glucocorticoid hormones to treat inflammatory illnesses.",Exposure to too much cortisol can occur from long-term use of synthetic glucocorticoid hormones to treat inflammatory illnesses.
Treatments For Cushing'S Syndrome,"Treatment of Cushing's syndrome depends on the cause of excess cortisol. If the cause is long-term use of a medication being used to treat another disorder, the physician may reduce the dosage until symptoms are under control.","Surgery or radiotherapy may be used to treat pituitary adenomas. Surgery, radiotherapy, chemotherapy, immunotherapy, or a combination of these may be used to treat ectopic ACTH syndrome."
Outlook For Cushing'S Syndrome,"The prognosis for those with Cushing's syndrome varies depending on the cause of the disease. Many individuals with Cushing's syndrome show significant improvement with treatment, although some may find recovery complicated by various aspects of the causative illness.",Most cases of Cushing's syndrome can be cured.
(Are) Moyamoya Disease,"Moyamoya disease is a rare, progressive cerebrovascular disorder caused by blocked arteries at the base of the brain in an area called the basal ganglia. The disease primarily affects children, but it can also occur in adults.",The name moyamoya means puff of smoke in Japanese and describes the look of the tangle of tiny vessels formed to compensate for the blockage.
Treatments For Moyamoya Disease,There are several types of surgery that can restore blood flow (revascularization) to the brain by opening narrowed blood vessels or by bypassing blocked arteries.,"There are several types of surgery that can restore blood flow (revascularization) to the brain by opening narrowed blood vessels or by bypassing blocked arteries. Children usually respond better to revascularization surgery than adults, but the majority of individuals have no further strokes or related problems after surgery."
Outlook For Moyamoya Disease,"Without surgery, the majority of individuals with Moyamoya disease will experience mental decline and multiple strokes because of the progressive narrowing of arteries.Without treatment,Moyamoya diseasecan be fatal as the result ofintracerebral hemorrhage (bleeding within the brain).",Clinical management depends on specific patient presentation and physician evaluation.
(Are) Pituitary Tumors,"Most pituitary tumors are benign, which means they are non-cancerous, grow slowly and do not spread to other parts of the body; however they can make the pituitary gland produce either too many or too few hormones, which can cause problems in the body. Tumors that make hormones are called functioning tumors, and they can cause a wide array of symptoms depending upon the hormone affected.","It controls a system of hormones in the body that regulate growth, metabolism, the stress response, and functions of the sex organs via the thyroid gland, adrenal gland, ovaries, and testes."
Treatments For Pituitary Tumors,"Generally, treatment depends on the type of tumor, the size of the tumor, whether the tumor has invaded or pressed on surrounding structures, such as the brain and visual pathways, and the individuals age and overall health.","Generally, treatment depends on the type of tumor, the size of the tumor, whether the tumor has invaded or pressed on surrounding structures, such as the brain and visual pathways, and the individuals age and overall health. Three types of treatment are used: surgical removal of the tumor; radiation therapy, in which high-dose x-rays are used to kill the tumor cells; and drug therapy to shrink or destroy the tumor."
Outlook For Pituitary Tumors,"If diagnosis is delayed, even a non-functioning tumor can cause problems if it grows large enough to press on the optic nerves, the brain, or the carotid arteries (the vessels that bring blood to the brain).",Early diagnosis and treatment is the key to a good prognosis.
(Are) Foot Drop,"As a result, individuals with foot drop scuff their toes along the ground or bend their knees to lift their foot higher than usual to avoid the scuffing, which causes what is called a steppage gait. Foot drop is a symptom of an underlying problem and is either temporary or permanent, depending on the cause.","As a result, individuals with foot drop scuff their toes along the ground or bend their knees to lift their foot higher than usual to avoid the scuffing, which causes what is called a steppage gait."
Treatments For Foot Drop,Treatment depends on the specific cause of foot drop.,"The most common treatment is to support the foot with light-weight leg braces and shoe inserts, called ankle-foot orthotics. Exercise therapy to strengthen the muscles and maintain joint motion also helps to improve gait."
Outlook For Foot Drop,The prognosis for foot drop depends on the cause. Foot drop caused by trauma or nerve damage usually shows partial or even complete recovery.,Foot drop caused by trauma or nerve damage usually shows partial or even complete recovery.
(Are) Central Cord Syndrome,"The brain's ability to send and receive signals to and from parts of the body below the site of injury is reduced but not entirely blocked. Symptoms may include paralysis or loss of fine control of movements in the arms and hands, with relatively less impairment of leg movements.",The brain's ability to send and receive signals to and from parts of the body below the site of injury is reduced but not entirely blocked.
Treatments For Central Cord Syndrome,There is no cure for central cord syndrome although some people recover near-normal function.,"There is no cure for central cord syndrome although some people recover near-normal function. There is no standard course of treatment, although drug therapy, surgery, and rest are often part of the program."
Outlook For Central Cord Syndrome,"The prognosis for central cord syndrome varies, but most people whose syndrome is caused by trauma have some recovery of neurological function. Evaluation of abnormal signals on MRI images can help predict he likelihood that neurological recovery may occur naturally.",Evaluation of abnormal signals on MRI images can help predict he likelihood that neurological recovery may occur naturally.
(Are) Anencephaly,"Anencephaly occurs when the ""cephalic"" or head end of the neural tube fails to close, resulting in the absence of a major portion of the brain, skull, and scalp. A baby born with anencephaly is usually blind, deaf, unconscious, and unable to feel pain.",The neural tube is a narrow channel that folds and closes between the 3rd and 4th weeks of pregnancy to form the brain and spinal cord of the embryo.
Treatments For Anencephaly,There is no cure or standard treatment for anencephaly.,There is no cure or standard treatment for anencephaly. Treatment is supportive.
Outlook For Anencephaly,The prognosis for babies born with anencephaly is extremely poor.,"If the infant is not stillborn, then he or she will usually die within a few hours or days after birth."
(Are) Neurological Consequences Of Cytomegalovirus Infection,"CMV is in the same family of viruses that causes cold sores (herpes simplex virus), infectious mononucleosis (Epstein-Barr virus), and chickenpox/shingles (varicella zoster virus). Most people who acquire CVM as children or adults display no signs of illness or have mild symptoms such as fever, fatigue, or tender lymph nodes.","CMV is in the same family of viruses that causes cold sores (herpes simplex virus), infectious mononucleosis (Epstein-Barr virus), and chickenpox/shingles (varicella zoster virus)."
Treatments For Neurological Consequences Of Cytomegalovirus Infection,"Antiviral drugs (ganciclovir and others)can be used to prevent or control the symptoms of CMV infection in immunocompromised individuals or some infants with congenital infection. Vaccines are in the development and human clinical trial stages, which shows that vaccines may help prevent initial CMV infection or decrease the severity of symptoms.","Since the virus remains in the person for life, there is no treatment to eliminate CMV infection."
Outlook For Neurological Consequences Of Cytomegalovirus Infection,"However, two groups of people are at high risk of neurological or other severe symptoms that may lead to long-term effects: - Unborn infants whose mothers have CMV infection.","CMV infection may be severe in solid organ or blood cell transplant recipients, people with untreated or end-stage HIV-AIDS, or others with altered immune function."
(Are) Muscular Dystrophy,"It is caused by the absence of dystrophin, a protein involved in maintaining the integrity of muscle. It causes progressive weakness in muscles of the face, arms, legs, and around the shoulders and chest.","Some forms of MD are seen in infancy or childhood, while others may not appear until middle age or later."
Treatments For Muscular Dystrophy,There is no specific treatment to stop or reverse any form of MD.,"There is no specific treatment to stop or reverse any form of MD. Treatment may include physical therapy, respiratory therapy, speech therapy, orthopedic appliances used for support, and corrective orthopedic surgery."
Outlook For Muscular Dystrophy,The prognosis for people with MD varies according to the type and progression of the disorder.,"Some cases may be mild and progress very slowly over a normal lifespan, while others produce severe muscle weakness, functional disability, and loss of the ability to walk."
(Are) Tourette Syndrome,"The first symptoms of TS are almost always noticed in childhood. Many with TS experience additional neurobehavioral problems including inattention, hyperactivity and impulsivity, and obsessive-compulsive symptoms such as intrusive thoughts/worries and repetitive behaviors.",The first symptoms of TS are almost always noticed in childhood.
Treatments For Tourette Syndrome,"Because tic symptoms do not often cause impairment, the majority of people with TS require no medication for tic suppression. However, effective medications are available for those whose symptoms interfere with functioning.","However, effective medications are available for those whose symptoms interfere with functioning."
Outlook For Tourette Syndrome,"Although TS can be a chronic condition with symptoms lasting a lifetime, most people with the condition experience their worst symptoms in their early teens, with improvement occurring in the late teens and continuing into adulthood. As a result, some individuals may actually become symptom free or no longer need medication for tic suppression.","As a result, some individuals may actually become symptom free or no longer need medication for tic suppression."
(Are) Hypertonia,Muscle tone is regulated by signals that travel from the brain to the nerves and tell the muscle to contract. Hypertonia happens when the regions of the brain or spinal cord that control these signals are damaged.,Muscle tone is regulated by signals that travel from the brain to the nerves and tell the muscle to contract.
Treatments For Hypertonia,"Botulinum toxin is often used to relieve hypertonia in a specific area of the body because its effects are local, not body-wide.","Muscle relaxing drugs such as baclofen, diazepam, and dantrolene may be prescribed to reduce spasticity. All of these drugs can be taken by mouth, but baclofen may also be injected directly into the cerebrospinal fluid through an implanted pump."
Outlook For Hypertonia,"The prognosis depends upon the severity of the hypertonia and its cause. If the hypertonia is so severe that is caused immobility, potential consequences include increased bone fragility and fracture, infection, bed sores, and pneumonia.","In some cases, such as cerebral palsy, the hypertonia may not change over the course of a lifetime."
(Are) Friedreich'S Ataxia,"Friedreich's ataxia is a rare inherited disease that causes progressive damage to the nervous system and movement problems. Neurological symptoms include awkward, unsteady movements, impaired sensory function, speech problems, and vision and hearing loss.","Neurological symptoms include awkward, unsteady movements, impaired sensory function, speech problems, and vision and hearing loss."
Treatments For Friedreich'S Ataxia,"However, many of the symptoms and accompanying complications can be treated to help individuals maintain optimal functioning as long as possible.",There is currently no effective cure or treatment for Friedreich's ataxia. Diabetes and heart problems can be treated with medications.
Outlook For Friedreich'S Ataxia,"Generally, within 15 to 20 years after the appearance of the first symptoms, the person is confined to a wheelchair, and in later stages of the disease, individuals may become completely incapacitated. Friedreich's ataxia can shorten life expectancy; heart disease is the most common cause of death.",Friedreich's ataxia can shorten life expectancy; heart disease is the most common cause of death.
(Are) Wilson Disease,"Although copper accumulation begins at birth, symptoms of the disorder only appear later in life. The most characteristic sign of WD is the Kayser-Fleisher ring a rusty brown ring around the cornea of the eye that can best be viewed using an ophthalmologists slit lamp.","The buildup of copper leads to damage in the liver, brain, and eyes."
Treatments For Wilson Disease,"Zinc, which blocks the absorption of copper in the stomach and causes no serious side effects, is often considered the treatment of choice. Symptomatic treatment for symptoms of muscle spasm, stiffness, and tremor may include anticholinergics, tizanidine, baclofen, levodopa, or clonazepam.","WD requires lifelong treatment, generally using drugs that remove excess copper from the body and prevent it from re-accumulating. Penicillamine and trientine are copper chelators that increase urinary excretion of copper; however, both drugs have some side effects."
Outlook For Wilson Disease,"If not treated, however, WD can cause brain damage, liver failure, and death.","If the disorder is detected early and treated appropriately, an individual with WD can usually enjoy normal health and a normal lifespan. The disease requires lifelong treatment."
(Are) Cerebral Aneurysms,"Cerebral aneurysms can occur at any age, although they are more common in adults than in children and are slightly more common in women than in men. The signs and symptoms of an unruptured cerebral aneurysm will partly depend on its size and rate of growth.","An aneurysm can press on a nerve or surrounding tissue, and also leak or burst, which lets blood spill into surrounding tissues (called a hemorrhage)."
Treatments For Cerebral Aneurysms,"For unruptured aneurysms, treatment may be recommended for large or irregularly-shaped aneurysms or for those causing symptoms.",Emergency treatment for individuals with a ruptured cerebral aneurysm may be required to restore deteriorating respiration and reduce abnormally high pressure within the brain. Treatment is necessary to prevent the aneurysm from rupturing again.
Outlook For Cerebral Aneurysms,"The prognosis for a individual with a ruptured cerebral aneurysm depends on the location of the aneurysm, extent of bleeding or rebleeding, the person's age, general health, pre-existing neurological conditions, adn time between rupture and medical attention.",Early diagnosis and treatment are important. Recovery from treatment or rupture may take weeks to months.
(Are) Charcot-Marie-Tooth Disease,"CMT, also known as hereditary motor and sensory neuropathy (HMSN) or peroneal muscular atrophy, comprises a group of disorders caused by mutations in genes that affect the normal function of the peripheral nerves. Later in the disease, weakness and muscle atrophy may occur in the hands, resulting in difficulty with fine motor skills.","CMT, also known as hereditary motor and sensory neuropathy (HMSN) or peroneal muscular atrophy, comprises a group of disorders caused by mutations in genes that affect the normal function of the peripheral nerves."
Treatments For Charcot-Marie-Tooth Disease,"There is no cure for CMT, but physical therapy, occupational therapy, braces and other orthopedic devices, and orthopedic surgery can help people cope with the disabling symptoms of the disease. In addition, pain-killing drugs can be prescribed for patients who have severe pain.","In addition, pain-killing drugs can be prescribed for patients who have severe pain."
Outlook For Charcot-Marie-Tooth Disease,"Onset of symptoms of CMT is most often in adolescence or early adulthood, however presentation may be delayed until mid-adulthood. Progression of symptoms is very gradual.",Progression of symptoms is very gradual.
(Are) Alternating Hemiplegia,"Alternating hemiplegia is a rare neurological disorder that develops in childhood, most often before the child is 18 months old.","The disorder is characterized by recurrent episodes of paralysis that involve one or both sides of the body, multiple limbs, or a single limb."
Treatments For Alternating Hemiplegia,Drug therapy including verapamil may help to reduce the severity and duration of attacks of paralysis associated with the more serious form of alternating hemiplegia,Drug therapy including verapamil may help to reduce the severity and duration of attacks of paralysis associated with the more serious form of alternating hemiplegia
Outlook For Alternating Hemiplegia,"Those who experience the more severe form have a poor prognosis because intellectual and mental capacities do not respond to drug therapy, and balance and gait problems continue.","Those who experience the more severe form have a poor prognosis because intellectual and mental capacities do not respond to drug therapy, and balance and gait problems continue."
(Are) Meralgia Paresthetica,"Meralgia paresthetica is a disorder characterized by tingling, numbness, and burning pain in the outer side of the thigh. The disorder is caused by compression of the lateral femoral cutaneous nerve, a sensory nerve to the skin, as it exits the pelvis.","The disorder is caused by compression of the lateral femoral cutaneous nerve, a sensory nerve to the skin, as it exits the pelvis."
Treatments For Meralgia Paresthetica,"Treatment for meralgia paresthetica is symptomatic and supportive. Medications used to treat neurogenic pain, such as anti-seizure or anti-depressant medications, may alleviate symptoms of pain.",The majority of cases improve with conservative treatment by wearing looser clothing and losing weight.
Outlook For Meralgia Paresthetica,Meralgia paresthetica usually has a good prognosis.,"In most cases, meralgia paresthetica will improve with conservative treatment or may even spontaneously resolve."
(Are) Neurosyphilis,"It can occur in people with syphilis, especially if they are left untreated. Neurosyphilis is different from syphilis because it affects the nervous system, while syphilis is a sexually transmitted disease with different signs and symptoms.","It can occur in people with syphilis, especially if they are left untreated."
Treatments For Neurosyphilis,"Penicillin, an antibiotic, is used to treat syphilis.","Penicillin, an antibiotic, is used to treat syphilis. Individuals with neurosyphilis can be treated with penicillin given by vein, or by daily intramuscular injections for 10 14 days."
Outlook For Neurosyphilis,Individuals with asymptomatic neurosyphilis or meningeal neurosyphilis usually return to normal health.,Prognosis can change based on the type of neurosyphilis and how early in the course of the disease people with neurosyphilis get diagnosed and treated. Individuals who receive treatment many years after they have been infected have a worse prognosis.
(Are) Neuromyelitis Optica,"Individuals with NMO develop optic neuritis, which caused pain in the eye and vision loss. Individuals also develop transverse myelitis, which causes weakness or paralysis of arms and legs,and numbness, along with loss of bladder and bowel control Magnetic resonance imaging of the spine often shows an abnormality that extends over long segments of the spinal cord.","Attacks are usually more severe in NMO than in MS, and NMO is treated differently than MS."
Treatments For Neuromyelitis Optica,"There is no cure for NMO and no FDA-approved therapies, but there are therapies to treat an attack while it is happening, to reduce symptoms, and to prevent relapses.NMO relapses and attacks are often treated with corticosteroid drugs and plasma exchange (also called plasmapheresis, a process used to remove harmful antibodies from the bloodstream). Pain, stiffness, muscle spasms, and bladder and bowel control problems can be managed with medicaitons and therapies.","Immunosuppressvie drugs used to prevent attacks include mycophenolate mofetil, rituximab, and azathioprine."
Outlook For Neuromyelitis Optica,"Most individuals with NMO have an unpredictable, relapsing course of disease with attacks occurring months or years apart. Rarely, muscle weakness can be severe enough to cause breathing difficulties and may require the use of artificial ventilation.","However, reducing the number of attacks with immunosuppressive medications may help prevent with accumulation of disability."
(Are) Tay-Sachs Disease,Tay-Sachs disease is a inherited metabolic disease caused by the harmful buildup of lipids (fatty materials such as oils and acids) in various cells and tissues in the body. Tay-Sachs and its variant form are caused by a deficiency in the enzyme hexosaminidase A.,It is part of a group of genetic disorders called the GM2 gangliosidoses.
Treatments For Tay-Sachs Disease,Presently there is no specific treatment for Tay-Sachs disease.,Other supportive treatment includes proper nutrition and hydration and techniques to keep the airway open.
Outlook For Tay-Sachs Disease,"Even with the best of care, children with Tay-Sachs disease usually die by age 4, from recurring infection.",Clinical management depends on specific patient presentation and physician evaluation.
(Are) Dyssynergia Cerebellaris Myoclonica,"Symptoms include seizures, tremor, and reduced muscle coordination. Onset of the disorder generally occurs in early adulthood.","Symptoms include seizures, tremor, and reduced muscle coordination."
Treatments For Dyssynergia Cerebellaris Myoclonica,Treatment of Dyssynergia Cerebellaris Myoclonica is symptomatic.,Myoclonus and seizures may be treated with drugs like valproate.
Outlook For Dyssynergia Cerebellaris Myoclonica,The progression of the disorder is usually 10 years or longer.,Clinical management depends on specific patient presentation and physician evaluation.
